Timestamp,Src_IP,Dst_IP,Protocol,Src_Port,Dst_Port,Size
2025-10-22 22:42:33.404069,192.168.29.234,224.0.0.251,17,5353,5353,135
2025-10-22 22:42:36.359571,192.168.29.1,224.0.0.1,2,,,50
2025-10-22 22:42:36.359571,192.168.29.1,224.0.0.1,2,,,50
2025-10-22 22:42:36.359571,192.168.29.1,224.0.0.1,2,,,50
2025-10-22 22:42:39.233950,192.168.29.181,224.0.0.22,2,,,54
2025-10-22 22:42:41.237099,192.168.29.181,224.0.0.22,2,,,54
2025-10-22 22:42:42.738054,192.168.29.181,224.0.0.22,2,,,54
2025-10-22 22:42:44.630186,192.168.29.39,239.255.255.250,17,43207,1900,167
2025-10-22 22:42:45.805148,192.168.29.181,172.188.155.25,6,58761,443,55
2025-10-22 22:42:45.885700,172.188.155.25,192.168.29.181,6,443,58761,66
2025-10-22 22:42:52.344011,192.168.29.181,140.82.112.25,6,53835,443,55
2025-10-22 22:42:52.585135,140.82.112.25,192.168.29.181,6,443,53835,66
2025-10-22 22:42:53.366112,192.168.29.234,224.0.0.251,17,5353,5353,135
2025-10-22 22:42:55.442067,192.168.29.181,192.168.29.1,17,60626,53,92
2025-10-22 22:42:55.442067,192.168.29.181,192.168.29.1,17,54759,53,92
2025-10-22 22:42:55.442067,192.168.29.1,192.168.29.181,17,53,54759,199
2025-10-22 22:42:55.464412,192.168.29.1,192.168.29.181,17,53,60626,212
2025-10-22 22:42:55.464412,192.168.29.181,20.42.65.90,6,57549,443,66
2025-10-22 22:42:55.810824,20.42.65.90,192.168.29.181,6,443,57549,66
2025-10-22 22:42:55.810824,192.168.29.181,20.42.65.90,6,57549,443,54
2025-10-22 22:42:55.810824,192.168.29.181,20.42.65.90,6,57549,443,613
2025-10-22 22:42:56.051989,20.42.65.90,192.168.29.181,6,443,57549,1514
2025-10-22 22:42:56.053995,20.42.65.90,192.168.29.181,6,443,57549,1514
2025-10-22 22:42:56.053995,20.42.65.90,192.168.29.181,6,443,57549,1514
2025-10-22 22:42:56.056017,20.42.65.90,192.168.29.181,6,443,57549,1514
2025-10-22 22:42:56.056017,20.42.65.90,192.168.29.181,6,443,57549,576
2025-10-22 22:42:56.056017,192.168.29.181,20.42.65.90,6,57549,443,54
2025-10-22 22:42:56.068025,192.168.29.181,20.42.65.90,6,57549,443,134
2025-10-22 22:42:56.068025,192.168.29.181,20.42.65.90,6,57549,443,1039
2025-10-22 22:42:56.313354,20.42.65.90,192.168.29.181,6,443,57549,54
2025-10-22 22:42:56.313354,20.42.65.90,192.168.29.181,6,443,57549,157
2025-10-22 22:42:56.313354,20.42.65.90,192.168.29.181,6,443,57549,500
2025-10-22 22:42:56.329353,192.168.29.181,20.42.65.90,6,57549,443,54
2025-10-22 22:42:56.409799,192.168.29.234,224.0.0.251,17,5353,5353,103
2025-10-22 22:42:56.409799,192.168.29.234,224.0.0.251,17,5353,5353,119
2025-10-22 22:42:56.409799,192.168.29.234,224.0.0.251,17,5353,5353,119
2025-10-22 22:42:56.409799,192.168.29.1,224.0.0.1,2,,,50
2025-10-22 22:42:56.409799,192.168.29.1,224.0.0.1,2,,,50
2025-10-22 22:42:56.409799,192.168.29.1,224.0.0.1,2,,,50
2025-10-22 22:42:56.733287,192.168.29.181,224.0.0.22,2,,,54
2025-10-22 22:42:58.265154,192.168.29.234,224.0.0.251,17,5353,5353,119
2025-10-22 22:42:58.683135,192.168.29.231,224.0.0.251,17,5353,5353,100
2025-10-22 22:42:58.685141,192.168.29.39,224.0.0.251,17,5353,5353,103
2025-10-22 22:43:00.088463,172.188.155.25,192.168.29.181,6,443,58761,113
2025-10-22 22:43:00.088463,192.168.29.181,172.188.155.25,6,58761,443,120
2025-10-22 22:43:00.178559,172.188.155.25,192.168.29.181,6,443,58761,54
2025-10-22 22:43:02.238243,192.168.29.181,224.0.0.22,2,,,54
2025-10-22 22:43:02.730304,192.168.29.181,224.0.0.22,2,,,54
2025-10-22 22:43:03.800328,192.168.29.234,224.0.0.251,17,5353,5353,103
2025-10-22 22:43:04.019029,192.168.29.234,224.0.0.251,17,5353,5353,119
